;Site;Vanadium;Iron;Niquel;Copper;Zinc;Molybdenum
C1_2017.08;Cha;0.0;0.73;0.0;11.66;0.0;5.27
C1_2018.02;Cha;5.0;28.7;14.0;15.2;28.8;17.8
C1_2018.08;Cha;5.0;24.4;27.1;5.0;20.0;22.9
C2_2017.08;Cha;0.0;0.0;0.0;24.34;0.0;6.39
C2_2018.02;Cha;5.0;20.4;16.0;14.0;20.9;30.0
C2_2018.08;Cha;5.0;36.1;26.1;5.0;20.0;21.7
C3_2017.08;Cha;0.0;1.69;0.0;24.17;1.64;8.4
C3_2018.02;Cha;5.0;27.0;15.6;18.9;24.9;21.6
C3_2018.08;Cha;5.0;20.0;29.0;5.0;20.0;22.6
C4_2017.08;Cha;0.15;2.07;0.0;13.13;1.37;5.81
C4_2018.02;Cha;5.0;23.0;14.5;19.9;26.8;18.6
C4_2018.08;Cha;5.0;29.2;29.5;21.6;20.0;21.7
F1_2017.08;Fla;0.0;1.86;0.0;0.89;0.0;4.34
F1_2018.02;Fla;5.0;34.8;13.5;5.0;20.0;17.7
F1_2018.08;Fla;5.0;31.2;27.8;5.0;21.8;21.9
F2_2017.08;Fla;0.15;0.0;0.0;0.61;0.0;5.3
F2_2018.02;Fla;6.6;37.7;13.3;5.0;20.0;99.9
F2_2018.08;Fla;5.0;27.1;26.5;5.0;20.0;21.7
F3_2017.08;Fla;0.21;1.11;1.69;1.5;0.0;8.57
F3_2018.02;Fla;5.0;21.0;13.4;5.0;20.0;17.6
F3_2018.08;Fla;5.0;30.4;25.9;5.0;20.0;21.9
F4_2017.08;Fla;0.11;0.0;0.0;0.83;0.0;5.38
F4_2018.02;Fla;5.0;40.6;16.5;5.0;21.8;62.6
F4_2018.08;Fla;5.0;38.9;28.4;5.0;20.0;22.0
H1_2017.08;Hu;0.19;4.86;1.03;0.98;1.1;7.0
H1_2018.02;Hu;5.0;35.0;13.1;5.7;20.0;17.0
H1_2018.08;Hu;5.0;29.0;27.9;5.0;20.0;22.0
H2_2017.08;Hu;0.2;0.92;1.61;0.68;0.69;7.78
H2_2018.02;Hu;5.0;33.9;13.0;5.0;23.2;17.1
H2_2018.08;Hu;5.0;56.7;28.8;5.0;43.2;22.3
H3_2017.08;Hu;0.43;3.36;2.03;1.85;2.47;8.73
H3_2018.02;Hu;5.0;46.6;13.3;5.0;20.0;25.1
H3_2018.08;Hu;5.0;53.3;29.1;5.0;20.0;21.5
H4_2017.08;Hu;0.31;4.0;2.01;2.15;2.1;7.5
H4_2018.02;Hu;5.0;62.9;14.3;5.0;24.0;21.6
H4_2018.08;Hu;5.0;23.5;28.8;5.0;20.0;21.2
P1_2018.02;Pc;5.0;28.3;13.9;5.0;20.0;18.1
P1_2018.08;Pc;5.0;25.2;26.8;5.0;20.0;20.5
P2_2018.02;Pc;5.0;41.1;13.9;5.0;20.0;17.5
P3_2018.02;Pc;5.0;37.7;14.0;5.0;20.0;16.9
P4_2018.02;Pc;5.0;44.4;14.6;5.0;40.6;17.3