"";"C1_2017.04";"C1_2018.02";"C1_2018.04";"C2_2017.04";"C2_2018.02";"C2_2018.04";"C3_2017.04";"C3_2018.02";"C3_2018.04";"C4_2017.04";"C4_2018.02";"C4_2018.04";"F1_2017.04";"F1_2018.02";"F1_2018.04";"F2_2017.04";"F2_2018.02";"F2_2018.04";"F3_2017.04";"F3_2018.02";"F3_2018.04";"F4_2017.04";"F4_2018.02";"F4_2018.04";"H1_2017.04";"H1_2018.02";"H1_2018.04";"H2_2017.04";"H2_2018.02";"H2_2018.04";"H3_2017.04";"H3_2018.02";"H3_2018.04";"H4_2017.04";"H4_2018.02";"H4_2018.04";"P1_2018.02";"P1_2018.04";"P2_2018.02";"P3_2018.02";"P4_2018.02"
"Chlorophyta";700;10150;15047;95;2468;12300;424;1073;5915;181;1881;7028;3386;1182;13831;5104;2468;17589;2441;3332;12353;1429;3317;12038;18757;26927;19349;19845;23710;18849;17584;28129;18849;23461;28048;22153;19202;3150;19038;20874;16930
"Fungi";23542;3754;2820;39436;1092;5753;32526;3110;309;38695;2759;2758;6064;4865;3387;15798;7047;741;27101;1828;6232;34393;2916;3398;5136;2009;307;4090;866;156;11670;1449;819;4975;1169;192;4731;6989;2437;1327;2149
"Dinoflagellata";1748;16256;11630;1220;20447;14626;2610;5161;11606;1416;6797;11028;7479;12018;18840;9111;13864;13684;7599;19674;19942;3942;20115;17250;10080;5814;10479;11335;8910;12142;4954;4937;9931;4732;5919;7647;6419;7948;9217;7262;9891
"Ochrophyta";4477;3025;4257;359;9875;2739;4871;22363;9863;653;19344;9083;1288;19140;1208;1297;10509;2038;255;3632;608;107;3363;1878;739;853;1733;604;828;1996;625;1107;1523;1242;1167;3648;2588;11860;2561;2748;2680
"Metazoa";143;705;765;47;906;1767;72;1677;4923;107;1628;2969;1151;1107;961;1354;3272;813;1619;3763;391;141;3010;696;661;1474;3858;256;412;3345;1621;157;4643;1703;144;695;251;3904;126;48;18
"Cryptophyta";0;558;1359;8;619;795;0;201;1223;0;445;1243;5899;182;1415;1433;360;1082;325;1191;506;400;1136;2231;501;668;889;445;1119;1054;1137;888;1148;1428;744;1543;964;274;1670;1635;918
"Haptophyta";4975;441;555;81;340;319;39;802;1076;47;973;1092;1160;150;118;890;198;169;262;438;69;177;341;263;2262;265;447;1588;289;416;793;369;300;1104;272;617;111;283;253;208;132
"Ciliophora";3817;1189;2902;282;1622;1972;235;4441;3812;278;4090;3661;9658;346;487;447;312;3142;474;849;448;146;540;2010;695;1657;2114;673;3259;1347;533;1976;2643;454;1959;2758;6502;1870;4586;6007;7390
"Sagenista";197;2453;428;35;2303;407;259;1229;456;83;1462;770;986;1783;603;1259;2196;1718;332;3861;449;286;3834;933;1011;917;1299;1099;1412;1101;1241;1206;933;929;1635;1412;377;1415;564;468;646
"Picozoa";4;134;126;0;146;65;0;3;54;0;14;80;2099;105;150;2360;136;212;541;595;61;364;713;248;807;246;352;873;188;333;697;156;292;879;184;207;62;308;167;150;149
"Katablepharidophyta";0;517;591;5;214;183;13;58;550;0;122;469;219;142;54;77;215;95;40;566;31;18;509;83;0;307;18;0;199;24;0;160;44;7;107;8;274;29;377;163;358
"Prasinodermophyta";0;71;102;0;72;296;0;18;232;0;16;73;0;64;290;13;45;81;0;63;424;0;39;121;93;31;31;14;22;51;31;39;64;49;56;84;32;268;44;44;65
"Opalozoa";241;992;231;29;629;87;20;243;254;44;402;367;1294;325;82;1528;606;122;440;997;32;149;885;164;127;125;114;459;119;126;210;94;59;200;64;119;34;346;196;396;96
"Pseudofungi";942;180;115;54;210;75;47;340;473;22;392;262;522;57;57;152;101;75;67;184;34;15;222;108;151;81;120;133;149;128;273;78;118;184;56;164;52;347;152;171;110
"Telonemia";88;131;726;32;57;149;12;140;510;8;87;336;151;16;47;110;40;44;20;54;8;40;48;98;80;74;72;79;89;86;125;110;71;123;124;198;44;77;130;119;82
"Cercozoa";180;966;33;13;568;68;578;656;84;174;941;187;122;189;34;220;231;53;68;377;31;23;416;53;131;106;86;107;89;100;54;112;36;57;23;34;30;288;74;50;45
"Centroheliozoa";0;62;27;0;33;9;0;5;73;0;4;55;115;0;22;260;0;19;92;5;0;16;20;25;6;0;6;0;0;5;3;0;9;0;0;7;0;0;0;0;0
"Streptophyta";0;0;0;20;0;0;0;0;0;0;13;0;0;0;0;0;2;0;0;0;0;0;0;0;0;11;0;0;5;0;42;679;0;0;0;0;0;0;35;0;0
"NA.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Conosa";543;0;0;0;0;49;0;0;23;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;4;42;0;0;0;0;0;0;0
"Choanoflagellida";12;77;6;0;77;9;0;70;100;0;78;38;98;17;39;146;21;33;30;136;9;9;148;44;3;0;22;0;37;77;32;9;41;11;5;124;17;236;61;47;48
"Rhodophyta";0;0;0;0;0;0;0;5;0;0;0;0;13;5;12;12;10;0;0;0;49;24;20;0;411;128;114;11;10;129;78;0;48;93;1;45;8;2044;0;0;0
"Stramenopiles_X";77;39;0;0;23;0;11;59;0;0;101;0;6;0;0;35;9;6;10;34;0;0;25;0;0;0;5;0;0;7;0;7;0;0;0;0;0;0;0;3;4
"Radiolaria";0;0;0;0;0;41;0;0;0;0;0;0;0;0;4;23;8;0;0;10;0;21;27;16;21;0;152;17;0;81;0;0;31;0;0;13;0;0;0;0;0
"Alveolata_X";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;43;0;0;36;6;0;8;0;0;0;0;0
"Mesomycetozoa";0;12;0;0;19;0;0;4;0;0;0;9;0;27;0;14;9;0;0;7;0;15;9;0;15;5;0;0;8;0;7;34;0;9;16;0;0;21;0;0;0
"Apicomplexa";0;0;0;0;0;11;3;0;38;0;6;23;0;0;44;3;21;4;0;0;43;5;2;7;0;0;0;0;0;0;0;0;24;0;0;0;0;30;0;0;0
"Perkinsea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0
"Chrompodellids";22;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0
"Hilomonadea";0;8;0;0;0;0;0;0;0;0;4;6;0;0;0;0;7;0;0;25;0;0;21;0;0;0;0;0;0;0;0;7;0;0;19;0;0;0;0;0;0
"Apusomonadidae";12;0;0;0;0;0;0;0;15;0;0;28;0;0;0;0;8;0;0;0;0;0;12;0;0;22;0;0;0;0;0;17;0;0;8;0;18;15;32;0;0
"Lobosa";0;0;0;0;0;0;0;6;7;12;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Foraminifera";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
