"";"C1_2017.08";"C1_2018.02";"C1_2018.08";"C2_2017.08";"C2_2018.02";"C2_2018.08";"C3_2017.08";"C3_2018.02";"C3_2018.08";"C4_2017.08";"C4_2018.02";"C4_2018.08";"F1_2017.08";"F1_2018.02";"F1_2018.08";"F2_2017.08";"F2_2018.02";"F2_2018.08";"F3_2017.08";"F3_2018.02";"F3_2018.08";"F4_2017.08";"F4_2018.02";"F4_2018.08";"H1_2017.08";"H1_2018.02";"H1_2018.08";"H2_2017.08";"H2_2018.02";"H2_2018.08";"H3_2017.08";"H3_2018.02";"H3_2018.08";"H4_2017.08";"H4_2018.02";"H4_2018.08";"P1_2018.02";"P1_2018.08";"P2_2018.02";"P3_2018.02";"P4_2018.02"
"ASV_1347_Pelagomonadaceae_clade_C_sp.";0;10;2;0;31;3;0;0;1;0;0;0;0;0;1;2;5;1;0;8;0;0;6;2;3;0;0;1;0;1;0;0;0;2;0;2;2;0;0;0;0
"ASV_31_Plagioselmis_prolonga";0;44;251;0;56;121;0;0;107;0;0;138;490;100;231;184;65;173;0;275;102;0;254;411;73;111;194;69;262;178;201;155;256;203;138;295;167;59;290;325;127
"ASV_49_Phaeocystis_globosa";1446;73;53;28;58;51;0;119;108;0;165;104;219;63;35;165;0;0;50;62;17;21;71;54;488;0;34;352;45;50;128;0;72;144;0;77;0;40;0;28;0
"ASV_82_Pelagomonadales_clade_B1_sp.";0;6;377;0;0;172;0;9;487;0;0;864;14;0;39;6;0;117;0;8;9;0;4;58;7;9;137;8;0;139;15;8;107;23;9;357;41;11;39;37;26
"ASV_44_Plagioselmis_prolonga";0;0;182;0;0;93;0;0;77;0;0;82;332;0;198;117;62;142;0;259;76;0;217;358;61;120;151;47;163;178;156;120;170;154;112;219;105;35;233;252;109
"ASV_1862_Crustomastigaceae_X_sp.";0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;3;0;0;1;0;12;1;2;1;3;0;0;4;2;3;4;2;0;2;1;0
"ASV_985_Non_Assigned";0;0;0;0;31;0;0;6;8;0;0;0;14;30;0;0;31;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
"ASV_668_Pelagomonadaceae_clade_C_sp.";0;23;8;0;60;7;0;14;2;0;0;0;0;29;1;6;33;1;0;23;0;0;7;1;3;0;0;1;0;4;8;0;4;4;0;4;15;0;0;0;0
"ASV_255_Katablepharidales_XX_sp.";0;107;0;0;0;9;0;0;0;0;0;0;0;0;10;0;68;0;0;146;0;0;99;14;0;71;0;0;35;0;0;32;0;0;48;0;42;0;70;29;72
"ASV_30_Picochlorum_sp.";0;0;88;28;0;79;27;0;0;0;0;63;0;0;748;57;0;225;97;9;1268;106;0;309;81;75;74;82;91;41;0;62;0;104;53;121;610;391;621;176;306
"ASV_2680_Brockmanniella brockmannii";0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;5;0;1;3;1;2;0
"ASV_1312_Brockmanniella brockmannii";0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;13;0;0;0;0;0;15;7;0;0;0;0;0;0;4;21;0;5;0;5;0;8;0;7
"ASV_144_Chaetoceros_tenuissimus";45;37;0;0;80;0;0;634;104;0;537;0;50;23;0;0;0;16;0;0;0;0;0;0;10;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
"ASV_1171_Non_Assigned";0;0;0;0;21;0;0;5;10;0;0;0;21;16;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;5;0;0;0
"ASV_690_Chloroparvula_pacifica";0;5;74;0;0;104;0;0;18;0;0;27;0;0;12;0;2;4;0;0;12;0;0;5;0;0;0;0;0;0;0;0;1;0;0;5;0;0;8;0;1
"ASV_510_Chloroparvula_pacifica";0;8;18;0;0;45;0;0;12;0;0;7;0;0;57;0;4;13;0;6;53;0;0;27;0;0;7;0;0;9;0;0;12;0;0;42;18;1;21;7;12
"ASV_14_Bathycoccus_prasinos";0;114;419;0;36;218;0;0;388;0;46;562;110;34;187;191;35;531;57;87;85;0;94;381;140;409;394;164;341;420;139;436;384;79;392;714;562;36;587;383;571
"ASV_412_Paraphysomonas_imperforata";0;0;0;0;0;0;0;12;26;0;18;34;0;0;0;23;0;37;0;0;51;0;0;151;16;0;0;44;0;0;51;0;0;0;0;0;0;40;0;0;0
"ASV_63_Ostreococcus_lucimarinus";0;57;94;0;0;60;0;0;16;0;0;13;12;0;67;20;15;138;0;26;36;0;24;88;197;294;228;219;224;193;181;226;188;195;259;165;142;11;142;106;118
"ASV_1241_Chrysochromulina_sp.";0;0;15;0;0;0;0;0;3;0;0;3;1;0;0;2;17;19;0;0;0;0;0;1;1;7;0;4;0;0;1;0;5;3;8;0;0;0;0;8;0
"ASV_4_Ostreococcus_lucimarinus";0;1640;2632;0;303;1502;0;0;508;19;71;536;421;174;1540;446;388;3469;200;603;699;67;624;1941;4059;5915;4322;4670;5105;4293;3948;5789;4337;4099;5946;4016;3018;285;2763;2032;2700
"ASV_2601_Chloroparvula_B3_sp.";0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;7;2;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;3;0;0;0
"ASV_3447_Chrysophyceae_Clade-H_X_sp.";0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0
"ASV_1388_Chloropicon_roscoffensis";0;0;0;0;0;7;0;0;0;0;0;0;0;7;11;16;0;0;0;0;12;19;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;8;0;0
"ASV_181_Chloropicon_laureae";0;42;38;0;0;39;18;0;21;0;0;9;0;16;321;26;0;75;0;15;350;15;0;123;32;0;0;0;0;29;0;0;23;27;0;28;9;40;0;0;0
"ASV_535_Chrysophyceae_Clade-H_X_sp.";0;39;0;0;0;0;0;0;39;0;0;16;0;0;0;0;45;36;0;68;0;0;61;22;0;0;0;0;0;0;0;6;0;0;0;0;0;35;0;0;0
"ASV_314_Chrysophyceae_Clade-H_X_sp.";0;29;28;0;32;0;0;14;0;0;61;26;0;43;37;0;76;62;0;93;27;0;88;33;0;6;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0
"ASV_1054_Hemiselmis_sp._nucl";0;0;0;0;20;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;26;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0
"ASV_1_Ostreococcus_lucimarinus";0;2284;3755;0;404;2178;0;32;658;0;0;706;523;219;2241;613;512;5006;322;769;1000;84;878;2823;5764;8612;6171;6312;7445;5990;5719;8129;6106;5858;8603;5802;4259;363;3971;2936;3795
"ASV_1164_Pelagomonadaceae_clade_C_sp.";0;16;0;0;33;5;0;0;1;0;0;0;0;0;1;2;0;0;0;9;0;10;7;2;0;0;0;3;0;5;3;0;0;5;0;0;7;0;0;0;0
"ASV_35_Ostreococcus_lucimarinus";0;93;156;0;0;80;0;0;18;0;0;36;27;0;83;30;19;182;0;37;35;0;38;138;258;392;287;312;323;276;273;328;271;260;387;265;221;10;193;165;169
"ASV_77_Minutocellus_polymorphus";0;109;0;0;57;0;0;58;0;0;33;0;0;0;0;39;25;35;0;0;0;0;0;76;0;0;0;0;0;0;0;149;14;0;164;0;508;0;454;771;612
"ASV_1091_Pelagomonas_calceolata";0;0;29;0;0;6;0;0;23;0;0;35;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;18;0;11
"ASV_452_Chloroparvula_pacifica";0;7;39;0;0;53;0;0;18;0;0;16;0;0;75;0;5;37;0;2;59;0;0;27;0;0;8;0;5;2;0;0;13;0;0;46;12;6;14;8;11
"ASV_99_Teleaulax_gracilis";0;35;121;0;50;61;0;0;75;0;32;95;471;0;95;136;17;70;50;45;29;83;52;105;41;48;39;36;46;65;89;37;55;92;29;106;74;28;64;64;49
"ASV_126_Detonula_pumila";0;0;0;0;0;0;0;0;1;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;21;0;0;30;0;0;0;0;0;18;0;0;0;1913;0;0;0
"ASV_51_Picochlorum_sp.";0;0;0;0;0;0;42;0;0;0;0;0;0;0;588;78;0;161;74;0;884;81;0;229;68;0;0;0;0;0;29;42;69;0;29;79;537;307;489;178;263
"ASV_577_Chlorodendrales_XX_sp.";0;0;0;0;0;0;0;0;0;0;0;14;0;0;13;0;0;0;0;0;0;0;0;0;262;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0
"ASV_465_Parmales_env_3B_sp.";0;23;0;0;0;0;0;0;14;0;0;0;0;0;20;0;0;45;0;0;13;0;68;39;32;0;0;0;26;36;0;0;0;33;0;35;0;32;0;0;0
"ASV_298_Aureococcus_anophagefferens";0;3;71;0;0;26;0;0;77;0;0;135;0;0;12;2;0;47;0;4;10;0;6;31;0;12;38;0;0;51;7;0;43;5;18;113;22;6;21;21;27
"ASV_83_Teleaulax_sp.";0;68;105;0;30;61;0;6;162;0;4;165;49;0;117;78;16;119;26;51;33;8;46;182;24;43;57;38;66;102;100;109;79;150;78;153;79;17;196;165;142
"ASV_140_Pycnococcaceae_X_sp.";0;300;33;0;121;0;44;82;0;18;75;36;0;65;73;152;60;0;75;50;117;92;33;47;0;0;30;0;19;0;0;32;0;0;0;0;0;49;40;0;16
"ASV_18_Rhizosolenia_delicatula";64;157;0;26;449;12;1274;3554;0;42;2407;25;0;90;0;0;13;0;0;9;0;0;9;0;0;13;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"ASV_15_Micromonas_bravo_B1";234;340;49;0;52;33;0;89;72;0;218;130;434;0;50;587;31;108;204;37;34;97;53;134;285;657;64;323;518;73;254;815;60;347;841;105;484;17;575;414;592
"ASV_21_Micromonas_commoda_A2";0;47;100;0;6;71;0;4;167;0;5;284;86;0;92;125;31;188;46;52;59;5;45;185;113;513;300;147;501;304;178;686;276;230;686;403;426;57;400;285;393
"ASV_1480_Triparma_laevis_clade";0;0;10;0;0;0;0;0;0;0;0;0;12;0;0;0;7;0;0;0;0;0;0;0;0;16;0;0;0;0;0;13;0;0;0;0;0;0;0;0;15
"ASV_2201_Rhodomonas_sp.";0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;6;0;0;4;0;0;2;0;0;2;0;5;0;3;0;0
"ASV_26_Micromonas_bravo_B1";181;221;19;23;89;16;24;66;63;0;153;71;344;10;46;344;14;79;161;34;29;57;45;90;161;424;64;220;370;39;198;543;50;261;622;64;352;0;419;299;442
"ASV_359_Ostreococcus_lucimarinus";0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;51;0;51;0;0;0;111;0;0;104;0;63;0;0;0;41;25;30
"ASV_116_Pelagomonadales_clade_B1_sp.";0;3;268;0;2;140;0;0;381;0;0;584;0;0;34;5;0;79;3;6;14;0;4;58;4;6;101;5;12;142;5;3;61;15;6;254;37;12;35;17;22
"ASV_576_Parmales_env_3A_sp.";0;0;0;0;0;7;0;0;0;0;0;82;40;0;6;0;14;25;0;41;0;8;12;0;0;0;28;0;0;0;0;0;0;11;0;19;0;54;0;0;0
"ASV_84_Pycnococcaceae_X_sp.";20;517;0;25;238;0;48;97;0;0;123;0;0;74;126;206;94;38;114;86;163;139;63;49;68;0;0;0;0;0;26;43;0;73;87;0;0;84;51;72;33
"ASV_2098_Crustomastigaceae_X_sp.";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;2;0;0;0;0;1;0;3;3;1;0;1;0;5;2;3;1;0;2;1;4
"ASV_382_Chloroparvula_pacifica";0;5;136;0;0;220;0;6;27;0;0;70;0;0;32;0;4;7;0;2;46;0;0;15;0;0;0;0;0;0;0;0;1;0;0;11;2;0;8;2;4
"ASV_56_Chloroparvula_pacifica";0;124;269;0;35;426;0;0;121;0;27;107;0;22;609;13;57;216;0;22;702;0;0;176;0;0;81;0;23;52;0;37;83;0;0;389;209;44;173;51;137
"ASV_835_Pelagomonas_calceolata";0;0;40;0;0;25;0;0;20;0;0;35;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;12;0;13
"ASV_112_Teleaulax_sp.";0;50;87;0;24;50;0;0;125;0;3;141;35;3;74;76;13;70;21;49;31;5;24;137;24;18;57;22;60;53;78;82;61;116;57;132;63;13;169;114;100
"ASV_3445_Guinardia_solstherfothii";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
"ASV_353_Chrysochromulina_sp.";0;29;0;0;49;0;0;71;0;0;47;0;70;0;29;78;0;0;15;0;11;0;0;0;44;0;0;0;28;19;31;26;0;48;0;0;0;0;0;0;24
"ASV_274_Guinardia_delicatula";4;13;0;0;34;0;204;63;38;0;60;0;29;105;4;0;53;0;0;25;0;0;5;6;0;0;0;0;0;0;0;0;4;0;0;0;0;195;0;0;0
"ASV_1152_Minidiscus_variabilis";0;0;0;0;3;1;3;0;0;0;0;0;0;1;43;0;1;0;23;0;0;28;0;12;0;0;0;0;0;0;0;0;0;0;0;9;0;2;0;0;0
"ASV_502_Pelagomonadaceae_clade_D1_sp.";0;0;33;0;0;104;0;0;49;0;0;46;0;0;42;0;0;8;0;0;39;0;0;18;2;0;1;0;0;12;4;0;21;10;0;12;0;8;0;0;0
"ASV_499_Chloroparvula_pacifica";0;1;92;0;0;170;0;0;31;0;0;53;0;0;19;0;5;8;0;4;35;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;7;0;1;1;4
"ASV_872_Chrysochromulina_sp.";0;0;0;0;0;0;0;0;2;0;0;7;0;0;0;0;0;7;0;0;0;0;0;15;2;23;7;4;10;4;1;13;22;3;21;8;0;0;0;4;0
"ASV_1231_Florenciella_parvula";0;0;0;0;0;0;0;0;50;0;0;31;0;0;0;8;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;13;0;0;9;0;0;0;0
"ASV_252_Chloroparvula_pacifica";0;40;32;0;11;64;0;0;28;0;15;26;0;11;62;0;22;24;0;16;116;0;0;31;0;0;10;0;22;11;0;13;13;0;19;55;117;11;67;25;58
"ASV_1218_Chrysophyceae_Clade-H_X_sp.";0;0;0;0;13;0;0;0;4;0;0;14;0;0;8;0;0;11;0;0;14;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;38;0;0;0
"ASV_65_Chloroparvula_pacifica";0;60;465;0;12;956;0;0;151;0;19;244;0;14;296;12;33;97;0;10;396;0;0;83;38;27;40;0;21;36;0;20;68;0;31;270;148;15;104;60;108
"ASV_53_Pelagomonas_calceolata";0;24;573;0;22;283;0;0;451;0;23;638;0;0;44;53;0;119;28;37;14;0;71;73;43;27;143;35;35;175;79;49;151;183;23;300;243;6;197;161;153
"ASV_413_Leucocryptos_marina";0;19;22;0;25;0;0;0;0;0;0;0;0;26;0;0;55;18;0;66;0;0;61;41;0;0;0;0;0;0;0;34;0;0;22;0;36;0;0;33;22
"ASV_906_Micromonas_pusilla";0;1;3;0;5;0;0;0;0;0;0;0;7;2;2;3;0;4;5;4;3;0;4;10;5;6;0;1;11;3;1;3;0;4;6;6;20;0;13;17;12
"ASV_783_Leucocryptos_marina";0;22;0;0;0;0;0;0;0;0;0;25;0;0;15;0;0;20;0;34;0;0;37;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
"ASV_1254_Prymnesiophyceae_Clade_D_XX_sp.";0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;28;0;0;0;0;0;11;0;0;18;0;0;0;10;0
"ASV_28_Rhizosolenia_delicatula";42;103;0;0;304;0;920;2497;57;0;1769;0;0;65;0;0;7;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;16;0;0;0;0;2;0;0;0
"ASV_131_Thalassiosira_tenera";0;0;27;0;0;55;0;0;236;0;0;129;58;0;18;0;0;33;0;0;31;0;0;0;24;0;61;0;0;69;0;0;64;0;0;0;0;1114;0;0;0
"ASV_1405_Chrysochromulina_sp.";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9;0;0;0;2;0;0;3;0;17;0;0;4;17;0;5;8;0;0;0;0;0;0;20;0;0
"ASV_1153_Micromonas_bravo_B2";0;0;0;0;0;0;0;0;11;0;0;13;0;0;0;0;0;0;0;0;0;0;0;4;0;0;5;0;0;2;0;7;4;0;0;11;11;0;17;8;29
"ASV_1694_Chrysochromulina_sp.";0;0;0;0;0;14;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;1;0;0;0;4;8;0;0;2;0;0;0
"ASV_48_Chloroparvula_pacifica";0;115;304;0;30;392;0;0;125;0;15;110;0;26;587;0;46;194;46;28;695;64;0;172;0;0;68;0;73;47;0;57;99;0;33;455;266;46;154;60;143
"ASV_806_Hemiselmis_sp._nucl";0;0;0;0;0;0;0;0;0;0;46;0;0;13;0;0;0;0;0;0;0;0;18;0;0;17;0;0;43;0;0;0;0;0;0;0;0;0;0;26;12
"ASV_969_Thalassiosira_rotula";53;0;0;6;6;0;4;1;10;1;3;9;0;1;0;0;0;0;0;0;0;0;0;0;11;0;0;26;0;0;0;0;0;0;0;0;0;15;0;0;0
